id,male.sp,site,female.treatment,clasp,sympatric,wing.darkening,translocation
vwyvl,americana,lm,am,1,0,1,0
vwyvl,americana,lm,dw,0,0,1,0
ygwgl,americana,lm,am,1,0,1,0
ygwgl,americana,lm,dw,1,0,1,0
wgwbES2012,occisa,ES,oc,1,0,1,1
wgwbES2012,occisa,ES,tit,0,0,0,1
wgwbES2012,occisa,ES,dw,0,0,1,0
wbbvES2012,occisa,ES,oc,1,0,1,1
wbbvES2012,occisa,ES,dw,0,0,1,0
wbbvES2012,occisa,ES,tit,0,0,0,1
moooES2012,occisa,ES,tit,0,0,0,1
moooES2012,occisa,ES,oc,1,0,1,1
moooES2012,occisa,ES,dw,0,0,1,0
ogvgES2012,occisa,ES,oc,1,0,1,1
ogvgES2012,occisa,ES,sem,0,0,0,0
ogvgES2012,occisa,ES,tit,0,0,0,1
ogvgES2012,occisa,ES,dw,0,0,1,0
moogES2012,occisa,ES,oc,1,0,1,1
moogES2012,occisa,ES,sem,0,0,0,0
moogES2012,occisa,ES,dw,0,0,1,0
moogES2012,occisa,ES,tit,0,0,0,1
wyvgES2012,occisa,ES,dw,0,0,1,0
wyvgES2012,occisa,ES,oc,1,0,1,0
moobES2012,occisa,ES,oc,1,0,1,1
moobES2012,occisa,ES,dw,0,0,1,0
moobES2012,occisa,ES,tit,0,0,0,1
ovbgES2012,occisa,ES,oc,1,0,1,0
ovbgES2012,occisa,ES,dw,0,0,1,0
obvgES2012,occisa,ES,dw,0,0,1,0
obvgES2012,occisa,ES,oc,1,0,1,0
oyobES2012,occisa,ES,dw,0,0,1,0
oyobES2012,occisa,ES,oc,1,0,1,1
oyobES2012,occisa,ES,tit,0,0,0,1
oywwES2012,occisa,ES,dw,0,0,1,0
oywwES2012,occisa,ES,oc,1,0,1,1
oywwES2012,occisa,ES,tit,0,0,0,1
oogwES2012,occisa,ES,oc,1,0,1,0
oogwES2012,occisa,ES,dw,0,0,1,0
wywwES2012,occisa,ES,oc,1,0,1,0
wywwES2012,occisa,ES,dw,0,0,1,0
YGGWCT2011,occisa,CT,oc,1,0,1,0
YGGWCT2011,occisa,CT,dw,1,0,1,0
GBWBCT2011,occisa,CT,dw,0,0,1,0
VOWBCT2011,occisa,CT,dw,0,0,1,0
GBWBCT2011,occisa,CT,oc,1,0,1,0
VOWBCT2011,occisa,CT,oc,1,0,1,0
GVOBCT2011,occisa,CT,dw,0,0,1,0
GVOBCT2011,occisa,CT,oc,1,0,1,0
VOGOCT2011,occisa,CT,oc,1,0,1,0
VOGOCT2011,occisa,CT,dw,0,0,1,0
OYVWCT2011,occisa,CT,dw,0,0,1,0
OYVWCT2011,occisa,CT,oc,1,0,1,0
OGWYCT2011,occisa,CT,oc,1,0,1,0
OGWYCT2011,occisa,CT,dw,0,0,1,0
OOVOCT2011,occisa,CT,dw,0,0,1,0
OOVOCT2011,occisa,CT,oc,1,0,1,0
OBYGCT2011,occisa,CT,dw,1,0,1,0
OBYGCT2011,occisa,CT,oc,1,0,1,0
OWBOCT2011,occisa,CT,oc,1,0,1,0
OWBOCT2011,occisa,CT,dw,0,0,1,0
OOOOCT2011,occisa,CT,oc,1,0,1,0
OOOOCT2011,occisa,CT,dw,0,0,1,0
OYWWCT2011,occisa,CT,dw,0,0,1,0
OYWWCT2011,occisa,CT,oc,1,0,1,0
OOVWCT2011,occisa,CT,dw,1,0,1,0
OOVWCT2011,occisa,CT,oc,0,0,1,0
OWOBCT2011,occisa,CT,oc,1,0,1,0
OWOBCT2011,occisa,CT,dw,0,0,1,0
OOYOCT2011,occisa,CT,oc,1,0,1,0
OOYOCT2011,occisa,CT,dw,0,0,1,0
OYWBCT2011,occisa,CT,dw,0,0,1,0
OYWBCT2011,occisa,CT,oc,1,0,1,0
YGBGPA22011,occisa,PA2,oc,1,1,1,0
GYVOPA22011,occisa,PA2,oc,1,1,1,0
YGBGPA22011,occisa,PA2,dw,0,1,1,0
GYVOPA22011,occisa,PA2,dw,0,1,1,0
YBBVPA22011,occisa,PA2,oc,1,1,1,0
YGYYPA22011,occisa,PA2,oc,1,1,1,0
YBBVPA22011,occisa,PA2,dw,0,1,1,0
YGYYPA22011,occisa,PA2,dw,0,1,1,0
YBBWPA22011,occisa,PA2,dw,0,1,1,0
BVBOPA22011,occisa,PA2,dw,1,1,1,0
VYWOPA22011,occisa,PA2,dw,0,1,1,0
GGOOPA22011,occisa,PA2,dw,0,1,1,0
YBBWPA22011,occisa,PA2,oc,1,1,1,0
BVBOPA22011,occisa,PA2,oc,1,1,1,0
VYWOPA22011,occisa,PA2,oc,1,1,1,0
GGOOPA22011,occisa,PA2,oc,1,1,1,0
BBYVPA22011,occisa,PA2,oc,1,1,1,0
BBYVPA22011,occisa,PA2,dw,1,1,1,0
BYGYPA22011,occisa,PA2,oc,1,1,1,0
BYGYPA22011,occisa,PA2,dw,0,1,1,0
VWBBPA22011,occisa,PA2,dw,1,1,1,0
VWBBPA22011,occisa,PA2,oc,1,1,1,0
BYYVPA22011,occisa,PA2,oc,1,1,1,0
YBYBPA22011,occisa,PA2,oc,1,1,1,0
BYYVPA22011,occisa,PA2,dw,1,1,1,0
YBYBPA22011,occisa,PA2,dw,0,1,1,0
GOYOPA22011,occisa,PA2,oc,1,1,1,0
GOYOPA22011,occisa,PA2,dw,0,1,1,0
BGVYPA22011,occisa,PA2,oc,1,1,1,0
BGVYPA22011,occisa,PA2,dw,0,1,1,0
GVVOPA22011,occisa,PA2,dw,1,1,1,0
GVVOPA22011,occisa,PA2,oc,0,1,1,0
YYVBPA22011,occisa,PA2,dw,1,1,1,0
YYVBPA22011,occisa,PA2,oc,1,1,1,0
gmogPA22012,occisa,PA2,oc,1,1,1,0
gmogPA22012,occisa,PA2,dw,0,1,1,0
boomPA22012,occisa,PA2,oc,1,1,1,0
boomPA22012,occisa,PA2,dw,0,1,1,0
ygmmPA22012,occisa,PA2,dw,1,1,1,0
ygmmPA22012,occisa,PA2,oc,1,1,1,0
ymyoPA22012,occisa,PA2,oc,1,1,1,0
ymyoPA22012,occisa,PA2,dw,1,1,1,0
yvgwPA22012,occisa,PA2,oc,1,1,1,0
yvgwPA22012,occisa,PA2,dw,0,1,1,0
bbwoPA22012,occisa,PA2,oc,1,1,1,0
bbwoPA22012,occisa,PA2,dw,0,1,1,0
bmvbPA22012,occisa,PA2,dw,1,1,1,0
bmvbPA22012,occisa,PA2,oc,1,1,1,0
byooPA22012,occisa,PA2,oc,1,1,1,0
byooPA22012,occisa,PA2,dw,1,1,1,0
vomgPA22012,occisa,PA2,dw,0,1,1,0
vomgPA22012,occisa,PA2,oc,1,1,1,0
ybvbPA22012,occisa,PA2,dw,0,1,1,0
ybvbPA22012,occisa,PA2,oc,1,1,1,0
bwooPA22012,occisa,PA2,dw,0,1,1,0
bwooPA22012,occisa,PA2,oc,1,1,1,0
gmvvPA22012,occisa,PA2,oc,1,1,1,0
gmvvPA22012,occisa,PA2,dw,0,1,1,0
googPA22012,occisa,PA2,oc,1,1,1,0
googPA22012,occisa,PA2,dw,0,1,1,0
bbbbPA22012,occisa,PA2,dw,1,1,1,0
bbbbPA22012,occisa,PA2,oc,1,1,1,0
vvvvPA22012,occisa,PA2,dw,1,1,1,0
vvvvPA22012,occisa,PA2,oc,1,1,1,0
vgvwPA22012,occisa,PA2,dw,1,1,1,0
vgvwPA22012,occisa,PA2,oc,1,1,1,0
voyyPA22012,occisa,PA2,dw,0,1,1,0
voyyPA22012,occisa,PA2,oc,1,1,1,0
bmyvPA22012,occisa,PA2,dw,1,1,1,0
bmyvPA22012,occisa,PA2,oc,1,1,1,0
ygovPA22012,occisa,PA2,oc,1,1,1,0
ygovPA22012,occisa,PA2,dw,0,1,1,0
gggwPA22012,occisa,PA2,dw,0,1,1,0
gggwPA22012,occisa,PA2,oc,1,1,1,0
mbgyPA22012,occisa,PA2,oc,1,1,1,0
mbgyPA22012,occisa,PA2,dw,0,1,1,0
mggoPA22012,occisa,PA2,oc,1,1,1,0
mggoPA22012,occisa,PA2,dw,1,1,1,0
mgwwPA22012,occisa,PA2,oc,1,1,1,0
mgwwPA22012,occisa,PA2,dw,1,1,1,0
moboPA22012,occisa,PA2,oc,1,1,1,0
moboPA22012,occisa,PA2,dw,0,1,1,0
movvPA22012,occisa,PA2,dw,0,1,1,0
movvPA22012,occisa,PA2,oc,0,1,1,0
myyyPA22012,occisa,PA2,dw,0,1,1,0
myyyPA22012,occisa,PA2,oc,1,1,1,0
WBYWOT2010,occisa,OT,tit,0,1,0,1
WBYWOT2010,occisa,OT,oc,1,1,0,1
WBOWOT2010,occisa,OT,tit,0,1,0,1
WBOWOT2010,occisa,OT,oc,1,1,0,1
VYPVOT2010,occisa,OT,tit,0,1,0,1
VYPVOT2010,occisa,OT,oc,1,1,0,1
PPYBOT2010,occisa,OT,tit,0,1,0,1
PPYBOT2010,occisa,OT,oc,1,1,0,1
VYVVOT2010,occisa,OT,oc,1,1,0,1
VYVVOT2010,occisa,OT,tit,0,1,0,1
BOGOOT2010,occisa,OT,tit,0,1,0,1
VOPYOT2010,occisa,OT,tit,0,1,0,1
BOGOOT2010,occisa,OT,oc,1,1,0,1
VOPYOT2010,occisa,OT,oc,1,1,0,1
WBOUOT2010,occisa,UOT,oc,1,0,0,1
WBOUOT2010,occisa,UOT,tit,0,0,0,1
WBVUOT2010,occisa,UOT,oc,1,0,0,1
WBVUOT2010,occisa,UOT,tit,0,0,0,1
WBYUOT2010,occisa,UOT,oc,1,0,0,1
WBYUOT2010,occisa,UOT,tit,0,0,0,1
WGPUOT2010,occisa,UOT,oc,1,0,0,1
WGPUOT2010,occisa,UOT,tit,0,0,0,1
WGWUOT2010,occisa,UOT,oc,1,0,0,1
WGWUOT2010,occisa,UOT,tit,0,0,0,1
WOYUOT2010,occisa,UOT,oc,1,0,0,1
WOYUOT2010,occisa,UOT,tit,0,0,0,1
WPBUOT2010,occisa,UOT,oc,1,0,0,1
WPBUOT2010,occisa,UOT,tit,0,0,0,1
WPPUOT2010,occisa,UOT,oc,1,0,0,1
WPPUOT2010,occisa,UOT,tit,0,0,0,1
WPWUOT2010,occisa,UOT,oc,1,0,0,1
WPWUOT2010,occisa,UOT,tit,0,0,0,1
WVOUOT2010,occisa,UOT,oc,1,0,0,1
WVOUOT2010,occisa,UOT,tit,0,0,0,1
WWVUOT2010,occisa,UOT,oc,1,0,0,1
WWVUOT2010,occisa,UOT,tit,0,0,0,1
WWWUOT2010,occisa,UOT,oc,1,0,0,1
WWWUOT2010,occisa,UOT,tit,0,0,0,1
WYGUOT2010,occisa,UOT,oc,1,0,0,1
WYGUOT2010,occisa,UOT,tit,0,0,0,1
BBYVPA22011,occisa,PA2,oc,1,1,0,1
BBYVPA22011,occisa,PA2,tit,0,1,0,1
BGOVPA22011,occisa,PA2,oc,1,1,0,1
BGOVPA22011,occisa,PA2,tit,0,1,0,1
BGVYPA22011,occisa,PA2,oc,1,1,0,1
BGVYPA22011,occisa,PA2,tit,0,1,0,1
BVBOPA22011,occisa,PA2,oc,1,1,0,1
BVBOPA22011,occisa,PA2,tit,0,1,0,1
BWOOPA22011,occisa,PA2,oc,1,1,0,1
BWOOPA22011,occisa,PA2,tit,0,1,0,1
BYWYPA22011,occisa,PA2,oc,1,1,0,1
BYWYPA22011,occisa,PA2,tit,0,1,0,1
BYYVPA22011,occisa,PA2,oc,1,1,0,1
BYYVPA22011,occisa,PA2,tit,0,1,0,1
GOYOPA22011,occisa,PA2,oc,1,1,0,1
GOYOPA22011,occisa,PA2,tit,0,1,0,1
GVVOPA22011,occisa,PA2,oc,1,1,0,1
GVVOPA22011,occisa,PA2,tit,0,1,0,1
GYVOPA22011,occisa,PA2,oc,1,1,0,1
GYVOPA22011,occisa,PA2,tit,0,1,0,1
VGGYPA22011,occisa,PA2,oc,1,1,0,1
VGGYPA22011,occisa,PA2,tit,0,1,0,1
VOBYPA22011,occisa,PA2,oc,1,1,0,1
VOBYPA22011,occisa,PA2,tit,0,1,0,1
YBBVPA22011,occisa,PA2,oc,1,1,0,1
YBBVPA22011,occisa,PA2,tit,0,1,0,1
YBBWPA22011,occisa,PA2,oc,1,1,0,1
YBBWPA22011,occisa,PA2,tit,0,1,0,1
YWVBPA22011,occisa,PA2,oc,1,1,0,1
YWVBPA22011,occisa,PA2,tit,0,1,0,1
YYVBPA22011,occisa,PA2,oc,1,1,0,1
YYVBPA22011,occisa,PA2,tit,0,1,0,1
bbbbPA22012,occisa,PA2,oc,1,1,0,1
bbbbPA22012,occisa,PA2,tit,0,1,0,1
bbwoPA22012,occisa,PA2,oc,1,1,0,1
bbwoPA22012,occisa,PA2,tit,0,1,0,1
bmvbPA22012,occisa,PA2,oc,1,1,0,1
bmvbPA22012,occisa,PA2,tit,0,1,0,1
bmyvPA22012,occisa,PA2,oc,1,1,0,1
bmyvPA22012,occisa,PA2,tit,0,1,0,1
boomPA22012,occisa,PA2,oc,1,1,0,1
boomPA22012,occisa,PA2,tit,0,1,0,1
bwooPA22012,occisa,PA2,oc,1,1,0,1
bwooPA22012,occisa,PA2,tit,0,1,0,1
byooPA22012,occisa,PA2,oc,1,1,0,1
byooPA22012,occisa,PA2,tit,0,1,0,1
gggwPA22012,occisa,PA2,tit,0,1,0,1
gggwPA22012,occisa,PA2,oc,1,1,0,1
gmogPA22012,occisa,PA2,oc,1,1,0,1
gmogPA22012,occisa,PA2,tit,0,1,0,1
gmvvPA22012,occisa,PA2,oc,1,1,0,1
gmvvPA22012,occisa,PA2,tit,0,1,0,1
googPA22012,occisa,PA2,oc,1,1,0,1
googPA22012,occisa,PA2,tit,0,1,0,1
mbgyPA22012,occisa,PA2,oc,1,1,0,1
mbgyPA22012,occisa,PA2,tit,0,1,0,1
mggoPA22012,occisa,PA2,oc,1,1,0,1
mggoPA22012,occisa,PA2,tit,0,1,0,1
mgwwPA22012,occisa,PA2,oc,1,1,0,1
mgwwPA22012,occisa,PA2,tit,0,1,0,1
moboPA22012,occisa,PA2,oc,1,1,0,1
moboPA22012,occisa,PA2,tit,0,1,0,1
movvPA22012,occisa,PA2,tit,1,1,0,1
movvPA22012,occisa,PA2,oc,0,1,0,1
myyyPA22012,occisa,PA2,tit,0,1,0,1
myyyPA22012,occisa,PA2,oc,1,1,0,1
vgvwPA22012,occisa,PA2,oc,1,1,0,1
vgvwPA22012,occisa,PA2,tit,0,1,0,1
vomgPA22012,occisa,PA2,oc,1,1,0,1
vomgPA22012,occisa,PA2,tit,0,1,0,1
voyyPA22012,occisa,PA2,oc,1,1,0,1
voyyPA22012,occisa,PA2,tit,0,1,0,1
vvvvPA22012,occisa,PA2,oc,1,1,0,1
vvvvPA22012,occisa,PA2,tit,0,1,0,1
ybvbPA22012,occisa,PA2,oc,1,1,0,1
ybvbPA22012,occisa,PA2,tit,0,1,0,1
ygmmPA22012,occisa,PA2,oc,1,1,0,1
ygmmPA22012,occisa,PA2,tit,0,1,0,1
ygovPA22012,occisa,PA2,oc,1,1,0,1
ygovPA22012,occisa,PA2,tit,0,1,0,1
ymyoPA22012,occisa,PA2,oc,1,1,0,1
ymyoPA22012,occisa,PA2,tit,0,1,0,1
yvgwPA22012,occisa,PA2,oc,1,1,0,1
yvgwPA22012,occisa,PA2,tit,0,1,0,1
vogoCV2012,titia,CV,tit,1,1,0,1
vogoCV2012,titia,CV,am,0,1,0,1
gygwCV2012,titia,CV,tit,1,1,0,1
gygwCV2012,titia,CV,am,0,1,0,1
gwybCV2012,titia,CV,tit,1,1,0,1
gwybCV2012,titia,CV,am,0,1,0,1
ggbyCV2012,titia,CV,tit,1,1,0,1
ggbyCV2012,titia,CV,am,0,1,0,1
gwwwCV2012,titia,CV,tit,1,1,0,1
yyywCV2012,titia,CV,tit,1,1,0,1
gwwwCV2012,titia,CV,am,0,1,0,1
yyywCV2012,titia,CV,am,0,1,0,1
yovoCV2012,titia,CV,am,1,1,0,1
bgooCV2012,titia,CV,am,0,1,0,1
vybwCV2012,titia,CV,am,0,1,0,1
bgooCV2012,titia,CV,tit,0,1,0,1
vybwCV2012,titia,CV,tit,1,1,0,1
yovoCV2012,titia,CV,tit,0,1,0,1
vygvCV2012,titia,CV,tit,1,1,0,1
vygvCV2012,titia,CV,am,0,1,0,1
ygyvCV2012,titia,CV,am,0,1,0,1
ygyvCV2012,titia,CV,tit,1,1,0,1
bybbCV2012,titia,CV,am,0,1,0,1
bybbCV2012,titia,CV,tit,1,1,0,1
vvvgCV2012,titia,CV,am,0,1,0,1
vvvgCV2012,titia,CV,tit,1,1,0,1
ygboCV2012,titia,CV,tit,1,1,0,1
bvbyCV2012,titia,CV,tit,1,1,0,1
ygyoCV2012,titia,CV,tit,1,1,0,1
ygboCV2012,titia,CV,am,0,1,0,1
bvbyCV2012,titia,CV,am,0,1,0,1
ygyoCV2012,titia,CV,am,0,1,0,1
ygywCV2012,titia,CV,tit,0,1,0,1
ygywCV2012,titia,CV,am,0,1,0,1
voyoCV2012,titia,CV,am,0,1,0,1
voyoCV2012,titia,CV,tit,1,1,0,1
vwbgCV2012,titia,CV,am,0,1,0,1
vwbgCV2012,titia,CV,tit,1,1,0,1
ybvgCV2012,titia,CV,am,0,1,0,1
ybvgCV2012,titia,CV,tit,1,1,0,1
vgooCV2012,titia,CV,tit,1,1,0,1
yygwCV2012,titia,CV,tit,1,1,0,1
vgooCV2012,titia,CV,am,0,1,0,1
yygwCV2012,titia,CV,am,0,1,0,1
yovvBF2017,titia,BF,am,0,0,0,1
yovvBF2017,titia,BF,tit,1,0,0,1
yoywBF2017,titia,BF,tit,1,0,0,1
yoywBF2017,titia,BF,am,0,0,0,1
wwoyBF2017,titia,BF,am,0,0,0,1
wwoyBF2017,titia,BF,tit,1,0,0,1
ybwyBF2017,titia,BF,tit,1,0,0,1
ybwyBF2017,titia,BF,am,0,0,0,1
ovvwBF2017,titia,BF,am,0,0,0,1
ovvwBF2017,titia,BF,tit,1,0,0,1
vwwvBF2017,titia,BF,tit,1,0,0,1
vwwvBF2017,titia,BF,am,0,0,0,1
wgwbBF2017,titia,BF,am,0,0,0,1
wgwbBF2017,titia,BF,tit,1,0,0,1
wwvwBF2017,titia,BF,tit,1,0,0,1
wwvwBF2017,titia,BF,am,0,0,0,1
gogwBF2017,titia,BF,am,0,0,0,1
gogwBF2017,titia,BF,tit,1,0,0,1
voyyBF2017,titia,BF,tit,1,0,0,1
voyyBF2017,titia,BF,am,0,0,0,1
bobvBF2017,titia,BF,am,0,0,0,1
bobvBF2017,titia,BF,tit,1,0,0,1
goobBF2017,titia,BF,tit,1,0,0,1
goobBF2017,titia,BF,am,0,0,0,1
boooBF2012,titia,BF,tit,1,0,0,1
boooBF2012,titia,BF,am,0,0,0,1
gbboBF2012,titia,BF,tit,1,0,0,1
gbboBF2012,titia,BF,am,1,0,0,1
vobgBF2012,titia,BF,am,0,0,0,1
vobgBF2012,titia,BF,tit,0,0,0,1
